"Title","UK Vacancies (thousands) - Total"
"CDID","AP2Y"
"Source dataset ID","LMS"
"PreUnit",""
"Unit",""
"Release date","13-05-2025"
"Next release","10 June 2025"
"Important notes",
"2002","612"
"2003","593"
"2004","641"
"2005","632"
"2006","609"
"2007","662"
"2008","638"
"2009","450"
"2010","469"
"2011","470"
"2012","480"
"2013","533"
"2014","658"
"2015","733"
"2016","751"
"2017","790"
"2018","835"
"2019","828"
"2020","571"
"2021","914"
"2022","1243"
"2023","1022"
"2024","862"
"2001 Q2","680"
"2001 Q3","663"
"2001 Q4","601"
"2002 Q1","619"
"2002 Q2","616"
"2002 Q3","609"
"2002 Q4","603"
"2003 Q1","593"
"2003 Q2","579"
"2003 Q3","592"
"2003 Q4","614"
"2004 Q1","624"
"2004 Q2","641"
"2004 Q3","654"
"2004 Q4","662"
"2005 Q1","644"
"2005 Q2","642"
"2005 Q3","622"
"2005 Q4","609"
"2006 Q1","600"
"2006 Q2","604"
"2006 Q3","611"
"2006 Q4","620"
"2007 Q1","642"
"2007 Q2","659"
"2007 Q3","684"
"2007 Q4","687"
"2008 Q1","698"
"2008 Q2","657"
"2008 Q3","615"
"2008 Q4","527"
"2009 Q1","464"
"2009 Q2","431"
"2009 Q3","436"
"2009 Q4","454"
"2010 Q1","465"
"2010 Q2","484"
"2010 Q3","455"
"2010 Q4","483"
"2011 Q1","483"
"2011 Q2","460"
"2011 Q3","464"
"2011 Q4","465"
"2012 Q1","467"
"2012 Q2","474"
"2012 Q3","487"
"2012 Q4","501"
"2013 Q1","506"
"2013 Q2","533"
"2013 Q3","547"
"2013 Q4","573"
"2014 Q1","616"
"2014 Q2","661"
"2014 Q3","686"
"2014 Q4","708"
"2015 Q1","730"
"2015 Q2","730"
"2015 Q3","741"
"2015 Q4","746"
"2016 Q1","748"
"2016 Q2","746"
"2016 Q3","753"
"2016 Q4","755"
"2017 Q1","771"
"2017 Q2","786"
"2017 Q3","800"
"2017 Q4","820"
"2018 Q1","815"
"2018 Q2","832"
"2018 Q3","846"
"2018 Q4","856"
"2019 Q1","845"
"2019 Q2","822"
"2019 Q3","818"
"2019 Q4","811"
"2020 Q1","795"
"2020 Q2","328"
"2020 Q3","490"
"2020 Q4","602"
"2021 Q1","626"
"2021 Q2","867"
"2021 Q3","1125"
"2021 Q4","1243"
"2022 Q1","1276"
"2022 Q2","1290"
"2022 Q3","1222"
"2022 Q4","1138"
"2023 Q1","1104"
"2023 Q2","1025"
"2023 Q3","973"
"2023 Q4","924"
"2024 Q1","905"
"2024 Q2","868"
"2024 Q3","832"
"2024 Q4","806"
"2025 Q1","783"
"2001 MAY","680"
"2001 JUN","674"
"2001 JUL","663"
"2001 AUG","663"
"2001 SEP","639"
"2001 OCT","626"
"2001 NOV","601"
"2001 DEC","606"
"2002 JAN","616"
"2002 FEB","619"
"2002 MAR","619"
"2002 APR","613"
"2002 MAY","616"
"2002 JUN","611"
"2002 JUL","613"
"2002 AUG","609"
"2002 SEP","609"
"2002 OCT","608"
"2002 NOV","603"
"2002 DEC","602"
"2003 JAN","596"
"2003 FEB","593"
