vintage_age_months,count,mean_revision,mean_abs_revision,median_abs_revision,p90_abs_revision
2,25,0.0,0.0,0.0,0.0
3,25,-0.88,3.36,2.0,8.400000000000006
4,25,-1.84,5.12,4.0,13.000000000000007
5,25,-3.08,6.12,5.0,14.600000000000001
6,25,-3.52,6.32,5.0,14.600000000000001
7,25,-3.88,6.68,5.0,14.600000000000001
8,25,-4.16,6.72,5.0,14.600000000000001
9,25,-3.56,6.36,5.0,13.200000000000003
10,25,-2.88,6.0,5.0,11.600000000000001
11,25,-2.72,5.92,4.0,11.600000000000001
12,25,-2.56,5.92,3.0,15.600000000000009
13,25,-2.76,5.48,3.0,15.600000000000009
14,25,-0.76,6.6,4.0,15.20000000000001
15,25,-0.6,6.44,4.0,15.600000000000009
16,25,-0.44,6.44,4.0,14.400000000000006
17,25,-0.2,5.64,4.0,11.600000000000001
18,25,0.12,4.6,4.0,11.0
19,25,0.08,4.48,4.0,11.0
20,25,-0.32,3.84,3.0,9.600000000000001
21,25,-0.56,3.36,2.0,8.600000000000001
22,25,-0.28,3.16,2.0,8.600000000000001
23,25,-0.44,3.08,1.0,8.600000000000001
24,25,-1.0,3.48,2.0,9.600000000000001
25,25,-1.28,3.68,2.0,10.0
26,25,-1.88,4.2,2.0,10.600000000000001
27,25,-2.8,5.12,4.0,12.200000000000003
28,25,-3.4,5.72,4.0,14.200000000000003
29,25,-3.56,5.72,4.0,14.200000000000003
30,25,-3.2,5.36,4.0,14.200000000000003
31,25,-2.8,4.96,2.0,14.200000000000003
32,25,-2.6,4.76,2.0,11.800000000000004
33,25,-2.24,4.4,2.0,9.600000000000001
34,25,-1.68,4.0,2.0,9.600000000000001
35,25,-1.4,3.96,3.0,9.0
36,25,-1.48,3.88,2.0,9.0
37,25,-1.92,4.24,4.0,9.0
38,25,-2.16,4.48,4.0,9.0
39,25,-2.32,4.64,4.0,10.800000000000004
40,25,-2.4,4.72,4.0,12.000000000000007
41,25,-2.0,4.48,3.0,11.600000000000009
42,25,-1.56,4.76,4.0,12.000000000000007
43,25,-0.88,4.96,4.0,13.200000000000003
44,25,-0.08,4.4,4.0,10.800000000000004
45,25,0.72,4.08,4.0,8.200000000000003
46,25,1.4,3.64,4.0,7.0
47,25,1.4,3.64,4.0,7.0
48,25,0.96,3.36,3.0,7.0
49,25,0.16,3.2,3.0,7.0
50,25,-0.28,3.32,3.0,7.0
51,25,-0.8,3.36,3.0,7.0
52,25,-1.28,3.52,3.0,7.600000000000001
53,25,-1.36,3.44,3.0,7.600000000000001
54,25,-0.96,3.6,4.0,7.600000000000001
55,25,-0.2,3.64,4.0,7.600000000000001
56,25,0.24,3.44,2.0,7.0
57,25,0.68,3.32,2.0,7.0
58,25,1.2,3.12,2.0,6.600000000000001
59,25,1.24,3.16,2.0,6.600000000000001
60,25,0.88,2.96,2.0,6.0
61,25,0.28,2.68,2.0,6.0
62,25,-0.04,2.84,2.0,6.0
63,25,-0.44,2.84,2.0,6.0
64,25,-1.0,3.08,2.0,6.0
65,25,-1.08,3.0,2.0,6.0
66,25,-0.8,3.12,3.0,6.0
67,25,-0.28,3.24,3.0,6.600000000000001
68,25,0.04,3.08,2.0,6.600000000000001
69,25,0.44,2.92,2.0,6.0
70,25,0.96,2.64,2.0,5.600000000000001
71,25,1.04,2.72,3.0,5.600000000000001
72,25,0.76,2.52,2.0,5.0
73,25,0.24,2.32,2.0,5.0
74,25,0.0,2.4,3.0,5.0
75,25,-0.32,2.4,3.0,5.0
76,25,-0.88,2.64,3.0,5.0
77,25,-1.0,2.52,1.0,5.0
78,25,-0.8,2.64,3.0,5.0
79,25,-0.44,2.76,3.0,5.600000000000001
80,25,-0.12,2.68,3.0,5.600000000000001
81,25,0.2,2.6,3.0,5.600000000000001
82,25,0.68,2.28,3.0,4.0
83,25,0.88,2.4,3.0,4.0
84,25,0.76,2.28,3.0,4.0
85,25,0.28,2.2,3.0,4.0
86,25,0.04,2.2,3.0,4.0
87,25,-0.24,2.24,3.0,4.600000000000001
88,25,-0.76,2.52,3.0,5.0
89,25,-0.92,2.44,1.0,5.0
90,25,-0.84,2.52,3.0,5.0
91,25,-0.36,2.6,3.0,5.0
92,25,-0.2,2.52,2.0,5.0
93,25,-0.08,2.32,1.0,4.600000000000001
94,25,0.32,1.84,1.0,4.0
95,25,0.52,1.96,1.0,4.600000000000001
96,25,0.56,1.92,1.0,4.600000000000001
97,25,0.44,1.56,1.0,4.0
98,25,0.36,1.64,1.0,4.600000000000001
99,25,0.2,1.72,1.0,5.0
100,25,-0.2,1.88,1.0,5.600000000000001
101,25,-0.6,1.8,1.0,5.200000000000003
102,25,-0.72,1.76,1.0,5.200000000000003
103,25,-0.64,1.92,1.0,6.0
104,25,-0.48,1.76,1.0,4.800000000000004
105,25,-0.32,1.6,1.0,2.6000000000000014
106,25,0.04,1.24,1.0,2.0
107,25,-0.04,1.32,1.0,2.6000000000000014
108,25,-0.24,1.28,1.0,2.0
109,25,-0.6,1.08,1.0,2.0
110,25,-0.36,1.16,1.0,2.0
111,25,-0.12,1.24,1.0,3.200000000000003
112,25,0.12,1.24,1.0,3.6000000000000014
113,25,0.36,1.08,1.0,2.6000000000000014
114,25,0.36,1.08,1.0,2.6000000000000014
115,25,0.4,1.04,1.0,2.6000000000000014
116,25,0.2,0.92,1.0,2.0
117,25,-0.04,0.76,1.0,2.0
118,25,-0.2,0.68,1.0,1.6000000000000014
119,25,-0.28,0.76,1.0,2.0
120,25,-0.2,0.68,1.0,1.6000000000000014
121,25,-0.16,0.64,1.0,1.0
122,25,-0.04,0.68,1.0,1.0
123,25,0.08,0.72,1.0,1.6000000000000014
124,25,0.28,0.84,1.0,2.6000000000000014
125,25,0.36,0.76,0.0,2.200000000000003
126,25,0.28,0.84,1.0,2.6000000000000014
127,25,0.28,0.84,1.0,2.6000000000000014
128,25,0.12,0.76,1.0,1.6000000000000014
129,25,0.0,0.64,0.0,1.0
130,25,-0.2,0.52,0.0,1.0
131,25,-0.24,0.56,1.0,1.0
132,25,-0.16,0.48,0.0,1.0
133,25,-0.08,0.48,0.0,1.0
134,25,-0.04,0.44,0.0,1.0
135,25,0.08,0.48,0.0,1.0
