"Title","UK Vacancies (thousands) - Total"
"CDID","AP2Y"
"Source dataset ID","LMS"
"PreUnit",""
"Unit",""
"Release date","18-07-2024"
"Next release","13 August 2024"
"Important notes",
"2002","612"
"2003","593"
"2004","641"
"2005","632"
"2006","609"
"2007","662"
"2008","638"
"2009","450"
"2010","469"
"2011","470"
"2012","480"
"2013","533"
"2014","658"
"2015","733"
"2016","751"
"2017","790"
"2018","835"
"2019","828"
"2020","570"
"2021","913"
"2022","1253"
"2023","1034"
"2001 Q2","680"
"2001 Q3","663"
"2001 Q4","602"
"2002 Q1","617"
"2002 Q2","616"
"2002 Q3","609"
"2002 Q4","603"
"2003 Q1","594"
"2003 Q2","579"
"2003 Q3","592"
"2003 Q4","615"
"2004 Q1","624"
"2004 Q2","641"
"2004 Q3","654"
"2004 Q4","662"
"2005 Q1","642"
"2005 Q2","642"
"2005 Q3","622"
"2005 Q4","609"
"2006 Q1","600"
"2006 Q2","604"
"2006 Q3","611"
"2006 Q4","620"
"2007 Q1","642"
"2007 Q2","659"
"2007 Q3","683"
"2007 Q4","687"
"2008 Q1","697"
"2008 Q2","657"
"2008 Q3","615"
"2008 Q4","527"
"2009 Q1","465"
"2009 Q2","431"
"2009 Q3","436"
"2009 Q4","454"
"2010 Q1","465"
"2010 Q2","484"
"2010 Q3","455"
"2010 Q4","483"
"2011 Q1","484"
"2011 Q2","461"
"2011 Q3","464"
"2011 Q4","465"
"2012 Q1","467"
"2012 Q2","474"
"2012 Q3","488"
"2012 Q4","501"
"2013 Q1","504"
"2013 Q2","534"
"2013 Q3","548"
"2013 Q4","572"
"2014 Q1","616"
"2014 Q2","663"
"2014 Q3","687"
"2014 Q4","707"
"2015 Q1","729"
"2015 Q2","732"
"2015 Q3","742"
"2015 Q4","743"
"2016 Q1","746"
"2016 Q2","750"
"2016 Q3","755"
"2016 Q4","758"
"2017 Q1","773"
"2017 Q2","782"
"2017 Q3","799"
"2017 Q4","821"
"2018 Q1","814"
"2018 Q2","829"
"2018 Q3","844"
"2018 Q4","856"
"2019 Q1","845"
"2019 Q2","821"
"2019 Q3","817"
"2019 Q4","810"
"2020 Q1","796"
"2020 Q2","328"
"2020 Q3","488"
"2020 Q4","600"
"2021 Q1","628"
"2021 Q2","867"
"2021 Q3","1122"
"2021 Q4","1241"
"2022 Q1","1286"
"2022 Q2","1299"
"2022 Q3","1233"
"2022 Q4","1153"
"2023 Q1","1120"
"2023 Q2","1039"
"2023 Q3","982"
"2023 Q4","929"
"2024 Q1","919"
"2024 Q2","889"
"2001 MAY","680"
"2001 JUN","674"
"2001 JUL","663"
"2001 AUG","663"
"2001 SEP","639"
"2001 OCT","626"
"2001 NOV","602"
"2001 DEC","605"
"2002 JAN","616"
"2002 FEB","617"
"2002 MAR","622"
"2002 APR","613"
"2002 MAY","616"
"2002 JUN","612"
"2002 JUL","613"
"2002 AUG","609"
"2002 SEP","609"
"2002 OCT","608"
"2002 NOV","603"
"2002 DEC","602"
"2003 JAN","596"
"2003 FEB","594"
"2003 MAR","585"
"2003 APR","588"
"2003 MAY","579"
